,Mkt-RF,SMB,HML,RMW,CMA,RF,excess_returns
2022-02-22,-1.17,-0.36,0.09,-0.04,0.17,0.0,-0.04233700103595994
2022-02-23,-1.96,0.06,1.25,0.02,1.07,0.0,-0.03978786438937232
2022-02-24,1.87,0.69,-3.88,-1.79,-1.8,0.0,0.05985272493125149
2022-02-25,2.24,-0.14,1.19,0.36,-0.19,0.0,0.008688047420232214
2022-02-28,0.03,0.39,-0.46,-0.8,0.25,0.0,0.034453108013189127
2022-03-01,-1.55,-0.28,-0.85,-0.41,0.54,0.0,-0.01998332777221845
2022-03-02,1.82,0.63,1.3,0.52,0.47,0.0,-0.02378935223072276
2022-03-03,-0.86,-0.22,1.51,1.25,1.25,0.0,-0.009573512521187877
2022-03-04,-1.09,-0.52,0.72,0.37,1.23,0.0,-0.03690686046311864
2022-03-07,-3.14,0.73,0.89,-0.69,1.35,0.0,0.04197080625418903
2022-03-08,-0.53,1.0,0.3,-1.12,-0.24,0.0,0.028896665630596896
2022-03-09,2.79,0.01,-2.17,-0.41,-1.58,0.0,0.05702128308884635
2022-03-10,-0.47,0.3,1.18,-0.33,0.34,0.0,-0.029790650828199206
2022-03-11,-1.48,-0.12,1.76,0.97,0.64,0.0,-0.08547715491018404
2022-03-14,-1.04,-0.84,1.79,2.19,0.1,0.0,-0.033575392365136625
2022-03-15,2.15,-0.49,-2.37,0.77,-0.99,0.0,0.03661975185841149
2022-03-16,2.6,0.44,-1.85,-1.16,-1.58,0.0,0.15760867546471546
2022-03-17,1.42,0.16,-1.06,-1.61,-0.2,0.0,0.04773087817661059
2022-03-18,1.32,-0.19,-1.87,-0.55,-0.84,0.0,0.003734072873678551
2022-03-21,-0.17,-0.94,1.64,-0.2,1.55,0.0,-0.02901781263577352
2022-03-22,1.3,-0.22,-1.19,-0.82,-1.03,0.0,0.028352481237645444
2022-03-23,-1.25,-0.62,0.4,-0.51,1.52,0.0,-0.025335331643439263
2022-03-24,1.42,-0.32,-0.82,-0.48,-0.13,0.0,-0.009174303230812475
2022-03-25,0.28,-0.3,2.19,0.2,1.37,0.0,-0.04398145780451079
2022-03-28,0.73,-0.87,-1.72,0.51,-1.24,0.0,0.03389831030313828
2022-03-29,1.43,1.19,-1.92,-0.32,-0.99,0.0,0.2419983861240318
2022-03-30,-0.82,-1.12,0.4,0.37,0.92,0.0,-0.08485225900332105
2022-03-31,-1.54,0.62,-0.45,-0.22,0.4,0.0,-0.07211539563695324
2022-04-01,0.39,0.58,-0.61,-0.92,0.05,0.0,-0.0007402093791573083
2022-04-04,0.93,-0.56,-1.86,-0.77,-0.7,0.0,0.024444438793041146
2022-04-05,-1.54,-0.72,0.82,0.69,0.15,0.0,-0.057845278029509006
2022-04-06,-1.23,-0.3,1.08,0.23,0.88,0.0,-0.039907867593699575
2022-04-07,0.34,-0.61,-0.12,0.37,0.3,0.0,-0.035171904556946854
2022-04-08,-0.38,-0.53,2.27,0.37,1.04,0.0,-0.06876552980046646
2022-04-11,-1.54,0.62,1.05,0.46,0.1,0.0,0.009786531369352591
2022-04-12,-0.29,0.56,0.47,-0.24,1.07,0.0,0.007048451190949878
2022-04-13,1.39,0.61,-0.71,-1.0,0.0,0.0,0.04024497164174834
2022-04-14,-1.28,0.32,1.43,0.17,0.98,0.0,-0.04289320556397158
2022-04-18,-0.19,-0.58,1.8,0.77,0.67,0.0,-0.03427068008794254
2022-04-19,1.76,0.4,-0.97,0.54,-1.26,0.0,0.051865392208333194
2022-04-20,-0.27,0.5,1.26,0.77,1.18,0.0,-0.0735294420947703
2022-04-21,-1.73,-0.56,0.41,1.79,0.44,0.0,-0.025210126685525802
2022-04-22,-2.74,0.26,-0.18,-0.15,-0.21,0.0,-0.017241317886610097
2022-04-25,0.7,0.12,-1.86,0.11,-1.11,0.0,0.012670576173572368
2022-04-26,-2.99,-0.36,1.8,0.24,1.25,0.0,-0.03753612419978325
2022-04-27,0.13,-0.56,0.34,0.14,0.8,0.0,-0.04899997711181636
2022-04-28,2.45,-0.52,-0.42,0.48,0.05,0.0,0.06098842373784574
2022-04-29,-3.54,0.88,0.61,-0.24,0.68,0.0,-0.028245772358983956
2022-05-02,0.8,0.38,-1.16,-0.63,-1.35,0.001,0.06784234737904449
2022-05-03,0.41,0.16,1.65,0.01,1.19,0.001,-0.03725946348901388
2022-05-04,3.01,-0.47,0.24,0.02,0.07,0.001,0.07820784226189603
2022-05-05,-3.8,-0.23,2.37,0.59,1.22,0.001,-0.027605502018552275
